,FL_DATE,state,latitude,longitude,temperature
210,2023-06-13,Michigan,44.314844,-85.602364,11.8
211,2023-06-13,Utah,39.32098,-111.093731,8.43
212,2023-06-13,Washington,47.751074,-120.740139,19.77
213,2023-06-13,Arizona,34.048928,-111.093731,17.32
214,2023-06-13,Montana,46.879682,-110.362566,15.15
215,2023-06-13,New Jersey,40.058324,-74.405661,20.87
216,2023-06-13,New Mexico,34.97273,-105.032363,21.15
217,2023-06-13,Ohio,40.417287,-82.907123,14.06
218,2023-06-13,U.S. Virgin Islands,8.3358,64.8963,29.45
219,2023-06-13,Mississippi,32.354668,-89.398528,23.2
220,2023-06-13,Arkansas,35.20105,-91.831833,22.18
221,2023-06-13,Indiana,40.551217,-85.602364,14.62
222,2023-06-13,South Dakota,43.969515,-99.901813,20.43
223,2023-06-13,Oklahoma,35.007752,-97.092877,20.13
224,2023-06-13,Louisiana,31.244823,-92.145024,27.09
225,2023-06-13,Oregon,43.804133,-120.554201,19.79
226,2023-06-13,Nebraska,41.492537,-99.901813,17.05
227,2023-06-14,Georgia,32.157435,-82.907123,22.6
228,2023-06-14,New York,43.299428,-74.217933,14.27
229,2023-06-14,South Carolina,33.836081,-81.163725,23.14
230,2023-06-14,Pennsylvania,41.203322,-77.194525,15.61
231,2023-06-14,Missouri,37.964253,-91.831833,20.24
232,2023-06-14,North Carolina,35.759573,-79.0193,22.88
233,2023-06-14,Louisiana,31.244823,-92.145024,28.97
234,2023-06-14,Texas,31.968599,-99.901813,27.52
235,2023-06-14,Massachusetts,42.407211,-71.382437,19.37
236,2023-06-14,Connecticut,41.603221,-73.087749,16.93
237,2023-06-14,Virginia,37.431573,-78.656894,20.55
238,2023-06-14,Arizona,34.048928,-111.093731,19.07
239,2023-06-14,New Jersey,40.058324,-74.405661,19.59
240,2023-06-14,Tennessee,35.517491,-86.580447,21.06
241,2023-06-14,Florida,27.664827,-81.515754,27.74
242,2023-06-14,California,36.778261,-119.417932,24.5
243,2023-06-14,Alaska,63.588753,-154.493062,5.72
244,2023-06-14,Hawaii,19.898682,-155.665857,18.68
245,2023-06-14,Michigan,44.314844,-85.602364,13.61
246,2023-06-14,Rhode Island,41.580095,-71.477429,19.45
247,2023-06-14,Illinois,40.633125,-89.398528,22.63
248,2023-06-14,Mississippi,32.354668,-89.398528,26.31
249,2023-06-14,Nebraska,41.492537,-99.901813,18.98
250,2023-06-14,Arkansas,35.20105,-91.831833,22.88
251,2023-06-14,Alabama,32.318231,-86.902298,23.21
252,2023-06-14,New Mexico,34.97273,-105.032363,22.04
253,2023-06-14,Indiana,40.551217,-85.602364,17.03
254,2023-06-14,West Virginia,38.597626,-80.454903,16.25
255,2023-06-14,Colorado,39.550051,-105.782067,2.48
256,2023-06-14,Oklahoma,35.007752,-97.092877,23.15
257,2023-06-14,Nevada,38.80261,-116.419389,15.03
258,2023-06-14,Utah,39.32098,-111.093731,10.41
259,2023-06-14,Maryland,39.045755,-76.641271,20.2
260,2023-06-14,Maine,45.253783,-69.445469,15.66
261,2023-06-14,Vermont,44.558803,-72.577841,17.28
262,2023-06-15,Michigan,44.314844,-85.602364,12.64
263,2023-06-15,Tennessee,35.517491,-86.580447,21.1
264,2023-06-15,Georgia,32.157435,-82.907123,22.44
265,2023-06-15,Louisiana,31.244823,-92.145024,28.85
266,2023-06-15,California,36.778261,-119.417932,26.01
267,2023-06-15,North Carolina,35.759573,-79.0193,23.83
268,2023-06-15,New York,43.299428,-74.217933,16.2
269,2023-06-15,Massachusetts,42.407211,-71.382437,18.12
270,2023-06-15,Texas,31.968599,-99.901813,28.69
271,2023-06-15,Maryland,39.045755,-76.641271,20.72
272,2023-06-15,Ohio,40.417287,-82.907123,17.27
273,2023-06-15,Missouri,37.964253,-91.831833,22.49
274,2023-06-15,South Carolina,33.836081,-81.163725,23.2
275,2023-06-15,Colorado,39.550051,-105.782067,3.55
276,2023-06-15,Florida,27.664827,-81.515754,28.65
277,2023-06-15,Connecticut,41.603221,-73.087749,17.2
278,2023-06-15,Alabama,32.318231,-86.902298,23.57
279,2023-06-15,Illinois,40.633125,-89.398528,23.78
280,2023-06-15,Indiana,40.551217,-85.602364,19.75
