FL_DATE,state,latitude,longitude
2023-02-13,New Mexico,34.97273,-105.032363
2023-02-13,Colorado,39.550051,-105.782067
2023-02-13,Florida,27.664827,-81.515754
2023-02-13,Oregon,43.804133,-120.554201
2023-02-13,North Dakota,47.551493,-101.002012
2023-02-13,California,36.778261,-119.417932
2023-02-13,Arizona,34.048928,-111.093731
2023-02-13,North Carolina,35.759573,-79.0193
2023-02-13,Texas,31.968599,-99.901813
2023-02-13,New Jersey,40.058324,-74.405661
2023-02-13,Georgia,32.157435,-82.907123
2023-02-13,Alabama,32.318231,-86.902298
2023-02-13,Minnesota,46.729553,-94.6859
2023-02-13,Utah,39.32098,-111.093731
2023-02-13,Nevada,38.80261,-116.419389
2023-02-13,Illinois,40.633125,-89.398528
2023-02-14,Georgia,32.157435,-82.907123
2023-02-14,Virginia,37.431573,-78.656894
2023-02-14,Texas,31.968599,-99.901813
2023-02-14,Arizona,34.048928,-111.093731
2023-02-14,Oklahoma,35.007752,-97.092877
2023-02-14,Washington,47.751074,-120.740139
2023-02-14,Oregon,43.804133,-120.554201
2023-02-14,Nevada,38.80261,-116.419389
2023-02-14,California,36.778261,-119.417932
2023-02-14,Hawaii,19.898682,-155.665857
2023-02-14,Florida,27.664827,-81.515754
2023-02-14,Minnesota,46.729553,-94.6859
2023-02-14,Wyoming,43.075968,-107.290284
2023-02-14,Illinois,40.633125,-89.398528
2023-02-14,Montana,46.879682,-110.362566
2023-02-14,Colorado,39.550051,-105.782067
2023-02-14,Idaho,44.068202,-114.742041
2023-02-14,New Mexico,34.97273,-105.032363
2023-02-14,Louisiana,31.244823,-92.145024
2023-02-14,Michigan,44.314844,-85.602364
2023-02-15,Louisiana,31.244823,-92.145024
2023-02-15,Illinois,40.633125,-89.398528
2023-02-15,Texas,31.968599,-99.901813
2023-02-15,Colorado,39.550051,-105.782067
2023-02-15,South Dakota,43.969515,-99.901813
2023-02-15,California,36.778261,-119.417932
2023-02-15,Hawaii,19.898682,-155.665857
2023-02-15,Michigan,44.314844,-85.602364
2023-02-15,North Dakota,47.551493,-101.002012
2023-02-15,Washington,47.751074,-120.740139
2023-02-15,Utah,39.32098,-111.093731
2023-02-15,Oregon,43.804133,-120.554201
2023-02-15,Missouri,37.964253,-91.831833
2023-02-15,Kansas,39.011902,-98.484246
2023-02-15,Arkansas,35.20105,-91.831833
2023-02-15,Florida,27.664827,-81.515754
2023-02-15,New York,43.299428,-74.217933
2023-02-15,Arizona,34.048928,-111.093731
2023-02-15,Tennessee,35.517491,-86.580447
2023-02-15,Indiana,40.551217,-85.602364
2023-02-15,Oklahoma,35.007752,-97.092877
2023-02-15,Georgia,32.157435,-82.907123
2023-02-15,Minnesota,46.729553,-94.6859
2023-02-15,Kentucky,37.839333,-84.270018
2023-02-15,Wisconsin,43.78444,-88.787868
2023-02-15,Wyoming,43.075968,-107.290284
2023-02-15,Alabama,32.318231,-86.902298
2023-02-15,Idaho,44.068202,-114.742041
2023-02-15,South Carolina,33.836081,-81.163725
2023-02-15,North Carolina,35.759573,-79.0193
2023-02-15,Virginia,37.431573,-78.656894
2023-02-15,Connecticut,41.603221,-73.087749
2023-02-15,Iowa,41.878003,-93.097702
2023-02-15,Nevada,38.80261,-116.419389
2023-02-15,Nebraska,41.492537,-99.901813
2023-02-15,Pennsylvania,41.203322,-77.194525
2023-02-15,Montana,46.879682,-110.362566
2023-02-15,New Jersey,40.058324,-74.405661
2023-02-15,Maryland,39.045755,-76.641271
2023-02-15,Ohio,40.417287,-82.907123
2023-02-16,Kentucky,37.839333,-84.270018
2023-02-16,Missouri,37.964253,-91.831833
2023-02-16,Michigan,44.314844,-85.602364
2023-02-16,Georgia,32.157435,-82.907123
2023-02-16,New York,43.299428,-74.217933
2023-02-16,Illinois,40.633125,-89.398528
2023-02-16,Nebraska,41.492537,-99.901813
2023-02-16,Tennessee,35.517491,-86.580447
2023-02-16,Colorado,39.550051,-105.782067
2023-02-16,Iowa,41.878003,-93.097702
2023-02-16,Virginia,37.431573,-78.656894
2023-02-16,California,36.778261,-119.417932
2023-02-16,Wisconsin,43.78444,-88.787868
2023-02-16,Arkansas,35.20105,-91.831833
2023-02-16,Texas,31.968599,-99.901813
2023-02-16,Arizona,34.048928,-111.093731
2023-02-16,Hawaii,19.898682,-155.665857
2023-02-16,Minnesota,46.729553,-94.6859
2023-02-16,Utah,39.32098,-111.093731
2023-02-16,Massachusetts,42.407211,-71.382437
2023-02-16,Florida,27.664827,-81.515754
2023-02-16,Nevada,38.80261,-116.419389
2023-02-16,Idaho,44.068202,-114.742041
2023-02-16,Oregon,43.804133,-120.554201
2023-02-16,Mississippi,32.354668,-89.398528
2023-02-16,Louisiana,31.244823,-92.145024
2023-02-16,Kansas,39.011902,-98.484246
2023-02-16,New Jersey,40.058324,-74.405661
2023-02-16,South Carolina,33.836081,-81.163725
2023-02-16,North Carolina,35.759573,-79.0193
2023-02-16,Indiana,40.551217,-85.602364
2023-02-16,West Virginia,38.597626,-80.454903
2023-02-16,South Dakota,43.969515,-99.901813
2023-02-16,Rhode Island,41.580095,-71.477429
2023-02-16,Ohio,40.417287,-82.907123
2023-02-17,New York,43.299428,-74.217933
2023-02-17,Alabama,32.318231,-86.902298
2023-02-17,Maine,45.253783,-69.445469
2023-02-17,North Carolina,35.759573,-79.0193
2023-02-17,Vermont,44.558803,-72.577841
2023-02-17,Michigan,44.314844,-85.602364
2023-02-17,Texas,31.968599,-99.901813
2023-02-17,Florida,27.664827,-81.515754
2023-02-17,Illinois,40.633125,-89.398528
2023-02-17,Georgia,32.157435,-82.907123
2023-02-17,Alaska,63.588753,-154.493062
2023-02-17,Washington,47.751074,-120.740139
2023-02-17,Hawaii,19.898682,-155.665857
2023-02-17,U.S. Virgin Islands,8.3358,64.8963
2023-02-17,Virginia,37.431573,-78.656894
2023-02-17,Nebraska,41.492537,-99.901813
2023-02-17,Massachusetts,42.407211,-71.382437
2023-02-17,Wisconsin,43.78444,-88.787868
2023-02-17,Pennsylvania,41.203322,-77.194525
2023-02-17,Kentucky,37.839333,-84.270018
2023-02-17,Colorado,39.550051,-105.782067
2023-02-17,Ohio,40.417287,-82.907123
2023-02-17,South Carolina,33.836081,-81.163725
2023-02-17,Connecticut,41.603221,-73.087749
2023-02-17,Louisiana,31.244823,-92.145024
2023-02-17,California,36.778261,-119.417932
2023-02-17,Missouri,37.964253,-91.831833
2023-02-17,Tennessee,35.517491,-86.580447
2023-02-18,Louisiana,31.244823,-92.145024
2023-02-18,Michigan,44.314844,-85.602364
2023-02-18,Texas,31.968599,-99.901813
2023-02-18,California,36.778261,-119.417932
2023-02-18,Tennessee,35.517491,-86.580447
2023-02-18,New York,43.299428,-74.217933
2023-02-18,Oregon,43.804133,-120.554201
2023-02-18,Alaska,63.588753,-154.493062
2023-02-18,Hawaii,19.898682,-155.665857
2023-02-18,U.S. Virgin Islands,8.3358,64.8963
2023-02-18,Wyoming,43.075968,-107.290284
2023-02-18,Florida,27.664827,-81.515754
2023-02-18,Kentucky,37.839333,-84.270018
2023-02-18,Wisconsin,43.78444,-88.787868
2023-02-18,Iowa,41.878003,-93.097702
2023-02-18,Colorado,39.550051,-105.782067
2023-02-18,Arizona,34.048928,-111.093731
2023-02-18,Utah,39.32098,-111.093731
2023-02-18,Montana,46.879682,-110.362566
2023-02-18,Minnesota,46.729553,-94.6859
2023-02-18,Puerto Rico,18.220833,-66.590149
2023-02-19,Texas,31.968599,-99.901813
2023-02-19,California,36.778261,-119.417932
2023-02-19,Florida,27.664827,-81.515754
2023-02-19,Hawaii,19.898682,-155.665857
2023-02-19,Illinois,40.633125,-89.398528
2023-02-19,North Dakota,47.551493,-101.002012
2023-02-19,Montana,46.879682,-110.362566
2023-02-19,New Mexico,34.97273,-105.032363
2023-02-19,Washington,47.751074,-120.740139
2023-02-19,South Dakota,43.969515,-99.901813
2023-02-19,Minnesota,46.729553,-94.6859
2023-02-19,Colorado,39.550051,-105.782067
2023-02-20,North Carolina,35.759573,-79.0193
2023-02-20,Illinois,40.633125,-89.398528
2023-02-20,Washington,47.751074,-120.740139
2023-02-20,Alaska,63.588753,-154.493062
2023-02-20,South Carolina,33.836081,-81.163725
2023-02-20,Hawaii,19.898682,-155.665857
2023-02-20,Massachusetts,42.407211,-71.382437
2023-02-20,Michigan,44.314844,-85.602364
2023-02-20,Utah,39.32098,-111.093731
2023-02-20,Missouri,37.964253,-91.831833
2023-02-20,Nevada,38.80261,-116.419389
2023-02-20,Minnesota,46.729553,-94.6859
2023-02-20,Ohio,40.417287,-82.907123
2023-02-20,North Dakota,47.551493,-101.002012
2023-02-20,Florida,27.664827,-81.515754
2023-02-20,Montana,46.879682,-110.362566
2023-02-20,Colorado,39.550051,-105.782067
2023-02-20,Texas,31.968599,-99.901813
2023-02-20,South Dakota,43.969515,-99.901813
2023-02-20,New York,43.299428,-74.217933
2023-02-20,California,36.778261,-119.417932
2023-02-20,Kansas,39.011902,-98.484246
2023-02-21,New York,43.299428,-74.217933
2023-02-21,North Carolina,35.759573,-79.0193
2023-02-21,Arizona,34.048928,-111.093731
2023-02-21,California,36.778261,-119.417932
2023-02-21,Wyoming,43.075968,-107.290284
2023-02-21,Minnesota,46.729553,-94.6859
2023-02-21,New Jersey,40.058324,-74.405661
2023-02-21,Alaska,63.588753,-154.493062
2023-02-21,Florida,27.664827,-81.515754
2023-02-21,Utah,39.32098,-111.093731
2023-02-21,Montana,46.879682,-110.362566
2023-02-21,Massachusetts,42.407211,-71.382437
2023-02-21,Puerto Rico,18.220833,-66.590149
2023-02-21,Georgia,32.157435,-82.907123
2023-02-21,Washington,47.751074,-120.740139
2023-02-21,Connecticut,41.603221,-73.087749
