FL_DATE,state,latitude,longitude,temperature
2022-01-04,North Dakota,47.551493,-101.002012,-15.69
2022-01-04,Ohio,40.417287,-82.907123,-2.74
2022-01-04,Oklahoma,35.007752,-97.092877,4.99
2022-01-04,Oregon,43.804133,-120.554201,-1.77
2022-01-04,Pennsylvania,41.203322,-77.194525,-3.21
2022-01-04,Puerto Rico,18.220833,-66.590149,20.47
2022-01-04,Rhode Island,41.580095,-71.477429,-3.57
2022-01-04,South Carolina,33.836081,-81.163725,3.65
2022-01-04,South Dakota,43.969515,-99.901813,-4.08
2022-01-04,Tennessee,35.517491,-86.580447,-0.38
2022-01-04,Texas,31.968599,-99.901813,8.45
2022-01-04,Utah,39.32098,-111.093731,-7.38
2022-01-04,Vermont,44.558803,-72.577841,-16.52
2022-01-04,Virginia,37.431573,-78.656894,-5.51
2022-01-04,Washington,47.751074,-120.740139,-6.3
2022-01-04,Wyoming,43.075968,-107.290284,-2.32
2022-01-05,Alabama,32.318231,-86.902298,8.1
2022-01-05,Alaska,63.588753,-154.493062,-24.42
2022-01-05,Arizona,34.048928,-111.093731,4.35
2022-01-05,Arkansas,35.20105,-91.831833,5.59
2022-01-05,California,36.778261,-119.417932,8.36
2022-01-05,Colorado,39.550051,-105.782067,-11.23
2022-01-05,Connecticut,41.603221,-73.087749,-0.83
2022-01-05,Florida,27.664827,-81.515754,19.81
2022-01-05,Georgia,32.157435,-82.907123,10.72
2022-01-05,Idaho,44.068202,-114.742041,-7.24
2022-01-05,Illinois,40.633125,-89.398528,-5.62
2022-01-05,Indiana,40.551217,-85.602364,0.03
2022-01-05,Iowa,41.878003,-93.097702,-9.39
2022-01-05,Kentucky,37.839333,-84.270018,6.25
2022-01-05,Louisiana,31.244823,-92.145024,12.17
2022-01-05,Maryland,39.045755,-76.641271,-1.38
2022-01-05,Michigan,44.314844,-85.602364,-2.65
2022-01-05,Minnesota,46.729553,-94.6859,-13.19
2022-01-05,Missouri,37.964253,-91.831833,-0.55
2022-01-05,Montana,46.879682,-110.362566,-24.16
2022-01-05,Nebraska,41.492537,-99.901813,-12.63
2022-01-05,Nevada,38.80261,-116.419389,-0.06
2022-01-05,New Hampshire,43.193852,-71.572395,-1.53
2022-01-05,New Jersey,40.058324,-74.405661,1.11
2022-01-05,New Mexico,34.97273,-105.032363,5.61
2022-01-05,New York,43.299428,-74.217933,-3.28
2022-01-05,North Carolina,35.759573,-79.0193,5.19
2022-01-05,North Dakota,47.551493,-101.002012,-19.88
2022-01-05,Ohio,40.417287,-82.907123,3.04
2022-01-05,Oklahoma,35.007752,-97.092877,4.95
